"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","GBR.XG_FOB_USD.DEU.A","OBS_VALUE","United Kingdom","Exports of goods, Free on board (FOB), US dollar","Germany","Annual","Millions","42428.264072","41490.111472","41942.388355","42134.085791","40940.657271"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.CAN.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","Canada","Annual","Millions","1191.786137","-969.636004","-1319.015162","2265.843628","527.822178"
"IMF.STA:IMTS(1.0.0)","GBR.XG_FOB_USD.CAN.A","OBS_VALUE","United Kingdom","Exports of goods, Free on board (FOB), US dollar","Canada","Annual","Millions","7957.685724","8307.851513","8414.432114","8850.09908","8880.272741"
"IMF.STA:IMTS(1.0.0)","GBR.MG_CIF_USD.CAN.A","OBS_VALUE","United Kingdom","Imports of goods, Cost insurance freight (CIF), US dollar","Canada","Annual","Millions","6765.899587","9277.487517","9733.447276","6584.255452","8352.450563"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.FRA.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","France","Annual","Millions","-5842.508337","-5215.24098","-10279.775558","-20198.756462","-17052.998075"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.DEU.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","Germany","Annual","Millions","-31407.246078","-38233.954084","-42368.234586","-49661.839223","-50145.890604"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.JPN.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","Japan","Annual","Millions","-1278.267734","-1407.327091","-2804.02428","-1655.425217","687.882377"
"IMF.STA:IMTS(1.0.0)","GBR.XG_FOB_USD.JPN.A","OBS_VALUE","United Kingdom","Exports of goods, Free on board (FOB), US dollar","Japan","Annual","Millions","8162.281027","9244.875871","8393.007041","7879.978584","9307.207329"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.USA.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","United States","Annual","Millions","12770.734185","14482.970834","-3627.615429","4701.220663","1001.685041"
"IMF.STA:IMTS(1.0.0)","GBR.XG_FOB_USD.ITA.A","OBS_VALUE","United Kingdom","Exports of goods, Free on board (FOB), US dollar","Italy","Annual","Millions","11395.915157","12713.383431","11917.885166","12983.384605","11759.853965"
"IMF.STA:IMTS(1.0.0)","GBR.MG_CIF_USD.FRA.A","OBS_VALUE","United Kingdom","Imports of goods, Cost insurance freight (CIF), US dollar","France","Annual","Millions","29996.757501","32351.917867","42232.551641","50637.700585","46830.670029"
"IMF.STA:IMTS(1.0.0)","GBR.MG_CIF_USD.ITA.A","OBS_VALUE","United Kingdom","Imports of goods, Cost insurance freight (CIF), US dollar","Italy","Annual","Millions","22605.745532","25799.786843","29107.640009","29218.784536","30971.854118"
"IMF.STA:IMTS(1.0.0)","GBR.XG_FOB_USD.FRA.A","OBS_VALUE","United Kingdom","Exports of goods, Free on board (FOB), US dollar","France","Annual","Millions","24154.249164","27136.676887","31952.776083","30438.944123","29777.671954"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.ITA.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","Italy","Annual","Millions","-11209.830375","-13086.403412","-17189.754843","-16235.399931","-19212.000153"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.ITA.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Italy","Annual","Millions","10494.245956","11584.765989","11773.92905","11980.570143","12156.346931"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.DEU.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Germany","Annual","Millions","17402.404995","20749.657285","19556.431374","19329.512118","17386.941485"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.DEU.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Germany","Annual","Millions","21209.497644","23643.78904","22750.587366","22505.900509","21298.626921"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.FRA.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","France","Annual","Millions","9255.484478","11562.313518","10147.552062","10584.613789","11075.944999"
"IMF.STA:IMTS(1.0.0)","GBR.MG_CIF_USD.DEU.A","OBS_VALUE","United Kingdom","Imports of goods, Cost insurance freight (CIF), US dollar","Germany","Annual","Millions","73835.51015","79724.065556","84310.622941","91795.925014","91086.547875"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.GBR.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","United Kingdom","Annual","Millions","6017.92939","6888.182802","6847.417422","7096.955077","7939.944719"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.CAN.A","OBS_VALUE","Japan","Trade balance goods, US dollar","Canada","Annual","Millions","-2632.637926","-5176.66793","-7920.132009","-3629.664654","-1839.099481"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.FRA.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","France","Annual","Millions","5639.124163","6676.718719","6447.496145","7050.967479","6690.863716"
"IMF.STA:IMTS(1.0.0)","GBR.XG_FOB_USD.USA.A","OBS_VALUE","United Kingdom","Exports of goods, Free on board (FOB), US dollar","United States","Annual","Millions","60988.635327","68450.591072","72896.54911","76442.04136","73687.833159"
"IMF.STA:IMTS(1.0.0)","GBR.MG_CIF_USD.JPN.A","OBS_VALUE","United Kingdom","Imports of goods, Cost insurance freight (CIF), US dollar","Japan","Annual","Millions","9440.548761","10652.202962","11197.031321","9535.403801","8619.324952"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.FRA.A","OBS_VALUE","Japan","Trade balance goods, US dollar","France","Annual","Millions","-3616.360315","-4885.594799","-3700.055917","-3533.64631","-4385.081283"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.ITA.A","OBS_VALUE","Japan","Trade balance goods, US dollar","Italy","Annual","Millions","-6730.750002","-6580.223578","-6461.453235","-5920.38997","-7100.446402"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.CAN.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Canada","Annual","Millions","7224.284823","8373.720815","8631.112609","10901.402496","11166.059149"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.GBR.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","United Kingdom","Annual","Millions","10694.116452","10358.805478","11037.958442","12003.269501","11231.411355"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.CAN.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Canada","Annual","Millions","9856.922749","13550.388745","16551.244618","14531.06715","13005.15863"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.GBR.A","OBS_VALUE","Japan","Trade balance goods, US dollar","United Kingdom","Annual","Millions","4676.187062","3470.622676","4190.54102","4906.314424","3291.466636"
"IMF.STA:IMTS(1.0.0)","FRA.XG_FOB_USD.JPN.A","OBS_VALUE","France","Exports of goods, Free on board (FOB), US dollar","Japan","Annual","Millions","6528.810879","7760.208171","6712.943847","7228.159273","9891.553914"
